gvkey,iid,datadate,tic,gsector
004641,01,1997-01-31,SCTTB,35
004641,01,1997-02-28,SCTTB,35
004641,01,1997-03-31,SCTTB,35
004641,01,1997-04-30,SCTTB,35
004641,01,1997-05-31,SCTTB,35
004641,01,1997-06-30,SCTTB,35
004641,01,1997-07-31,SCTTB,35
004641,01,1997-08-31,SCTTB,35
004641,01,1997-09-30,SCTTB,35
004641,01,1997-10-31,SCTTB,35
004641,01,1997-11-30,SCTTB,35
004641,01,1997-12-31,SCTTB,35
004641,01,1998-01-31,SCTTB,35
004641,01,1998-02-28,SCTTB,35
004641,01,1998-03-31,SCTTB,35
004641,01,1998-04-30,SCTTB,35
004641,01,1998-05-31,SCTTB,35
004641,01,1998-06-30,SCTTB,35
004641,01,1998-07-31,SCTTB,35
004641,01,1998-08-31,SCTTB,35
004641,01,1998-09-30,SCTTB,35
004641,01,1998-10-31,SCTTB,35
004641,01,1998-11-30,SCTTB,35
004641,01,1998-12-31,SCTTB,35
004641,01,1999-01-31,SCTTB,35
004641,02,1995-01-31,SCTT.,35
004641,02,1995-02-28,SCTT.,35
004641,02,1995-03-31,SCTT.,35
004641,02,1995-04-30,SCTT.,35
004641,02,1995-05-31,SCTT.,35
004641,02,1995-06-30,SCTT.,35
004641,02,1995-07-31,SCTT.,35
004641,02,1995-08-31,SCTT.,35
004641,02,1995-09-30,SCTT.,35
004641,02,1995-10-31,SCTT.,35
004641,02,1995-11-30,SCTT.,35
004641,02,1995-12-31,SCTT.,35
004641,02,1996-01-31,SCTT.,35
004641,02,1996-02-29,SCTT.,35
004641,02,1996-03-31,SCTT.,35
004641,02,1996-04-30,SCTT.,35
004641,02,1996-05-31,SCTT.,35
004641,02,1996-06-30,SCTT.,35
004641,02,1996-07-31,SCTT.,35
004641,02,1996-08-31,SCTT.,35
004641,02,1996-09-30,SCTT.,35
004641,02,1996-10-31,SCTT.,35
004641,02,1996-11-30,SCTT.,35
004641,02,1996-12-31,SCTT.,35
004641,02,1997-01-31,SCTT.,35
004641,02,1997-02-28,SCTT.,35
004641,02,1997-03-31,SCTT.,35
004641,02,1997-04-30,SCTT.,35
004641,02,1997-05-31,SCTT.,35
004641,02,1997-06-30,SCTT.,35
004641,02,1997-07-31,SCTT.,35
004641,02,1997-08-31,SCTT.,35
004641,02,1997-09-30,SCTT.,35
004641,02,1997-10-31,SCTT.,35
004641,02,1997-11-30,SCTT.,35
004641,02,1997-12-31,SCTT.,35
004641,02,1998-01-31,SCTT.,35
004641,02,1998-02-28,SCTT.,35
004641,02,1998-03-31,SCTT.,35
004641,02,1998-04-30,SCTT.,35
004641,02,1998-05-31,SCTT.,35
004641,02,1998-06-30,SCTT.,35
004641,02,1998-07-31,SCTT.,35
004641,02,1998-08-31,SCTT.,35
004641,02,1998-09-30,SCTT.,35
004641,02,1998-10-31,SCTT.,35
004641,02,1998-11-30,SCTT.,35
004641,02,1998-12-31,SCTT.,35
004641,02,1999-01-31,SCTT.,35
